zip3,total,white_nonhispanic,black_nonhispanic,aian_nonhispanic,asian_nonhispanic,nhpi_nonhispanic,other_race_nonhispanic,two_or_more_nonhispanic,hispanic,other_nonhispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_hispanic,pct_other_nonhispanic,race_proxy_group
040,347663.0,325921.0,3408.0,970.0,4887.0,23.0,246.0,6426.0,5782.0,7665.0,0.9374624276957859,0.00980259619228966,0.014056715842640718,0.016631047882575942,0.02204721238670782,white_nonhispanic
041,114815.0,98966.0,6484.0,97.0,3350.0,11.0,187.0,2644.0,3076.0,2939.0,0.861960545224927,0.05647345730087532,0.029177372294560817,0.026790924530766886,0.02559770064886992,white_nonhispanic
042,175999.0,162976.0,2305.0,489.0,1230.0,4.0,50.0,6114.0,2831.0,6657.0,0.9260052613935307,0.013096665321962056,0.006988676072023137,0.01608531866658333,0.03782407854590083,white_nonhispanic
043,81327.0,77472.0,481.0,458.0,606.0,5.0,38.0,1042.0,1225.0,1543.0,0.9525987679368475,0.005914394973379074,0.0074513999040908925,0.015062648320975813,0.01897278886470668,white_nonhispanic
044,173950.0,163525.0,1479.0,1684.0,1705.0,92.0,111.0,3151.0,2203.0,5038.0,0.9400689853406151,0.008502443230813452,0.009801667145731533,0.012664558781258982,0.028962345501580913,white_nonhispanic
045,47793.0,45975.0,241.0,160.0,253.0,0.0,50.0,619.0,495.0,829.0,0.9619609566254472,0.005042579457242693,0.005293662251794196,0.010357165275249514,0.01734563639026636,white_nonhispanic
046,73175.0,67605.0,520.0,1714.0,679.0,9.0,62.0,1210.0,1376.0,2995.0,0.9238811069354288,0.007106252135292108,0.00927912538435258,0.018804236419542195,0.040929279125384355,white_nonhispanic
047,68507.0,64639.0,612.0,1240.0,277.0,7.0,0.0,914.0,818.0,2161.0,0.9435386164917454,0.00893339366780037,0.004043382428073044,0.011940385654020757,0.03154422175836046,white_nonhispanic
048,40290.0,38372.0,204.0,120.0,238.0,0.0,9.0,712.0,635.0,841.0,0.9523951352692976,0.005063291139240506,0.00590717299578059,0.015760734673616283,0.020873665922065028,white_nonhispanic
049,159141.0,151629.0,1010.0,607.0,982.0,95.0,59.0,2666.0,2093.0,3427.0,0.9527965766207326,0.0063465731646778645,0.006170628562092735,0.013151859043238387,0.021534362609258458,white_nonhispanic
